protein,X2018_MARCH_5_UWPRQE_HATCHMICRO_01_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_03_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_04_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_05_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_06_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_07_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_08_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_09_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_10_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_11_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_12_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_13_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_14_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_15_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_16_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_17_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_18_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_19_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_20_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_21_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_22_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_23_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_24_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_25_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_26_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_27_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_28_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_29_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_30_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_31_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_32_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_33_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_34_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_35_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_36_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_37_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_38_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_39_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_40_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_41_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_42_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_43_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_44_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_45_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_46_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_47_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_48_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_49_NUMSPECSTOT,protein length,uniprot annotation,blastp e-value
gene_1020826|GeneMark.hmm|192_aa|-|144|722,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,192,Q3AFS4.1,3.67E-75
gene_1022062|GeneMark.hmm|1269_aa|-|21834|25643,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1269,A6GYU0.1,0
gene_1025552|GeneMark.hmm|332_aa|+|9226|10224,0,3,1,3,0,0,3,0,4,2,0,0,0,1,2,0,1,2,0,0,0,0,4,4,2,3,0,0,0,0,0,2,2,0,0,0,0,1,0,0,2,0,0,0,5,2,3,0,332,Q8ZKQ1.1,3.24E-26
gene_1027132|GeneMark.hmm|463_aa|+|376|1767,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,NA,NA
gene_1027983|GeneMark.hmm|418_aa|-|179|1435,0,3,0,2,0,0,3,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,3,3,1,3,1,0,0,0,0,2,2,0,0,1,0,2,0,0,4,0,2,0,4,2,2,0,418,Q8FWQ3.1,9.76E-44
gene_1028489|GeneMark.hmm|665_aa|+|8926|10923,1,1,3,2,4,2,2,2,1,1,1,3,0,0,1,1,1,3,2,1,0,1,1,1,2,2,1,1,1,1,2,3,2,1,1,2,1,1,1,0,1,1,3,1,0,1,1,1,665,Q91233.1,0
gene_1029466|GeneMark.hmm|318_aa|-|755|1711,0,2,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,4,3,0,0,0,1,2,0,0,1,0,0,0,2,3,2,0,318,P0A3T2.1,6.12E-33
gene_1029975|GeneMark.hmm|68_aa|-|40|246,0,3,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,3,1,0,0,0,0,0,2,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,3,0,0,68,P0A355.1,3.58E-22
gene_1033555|GeneMark.hmm|679_aa|-|67|2106,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,2,0,1,3,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,679,P54774.1,0
gene_1035008|GeneMark.hmm|177_aa|+|2218|2751,0,8,6,8,14,3,15,11,0,7,0,0,1,0,0,0,0,14,9,1,0,2,0,0,8,7,0,0,13,1,12,7,8,1,1,9,9,1,0,1,12,1,13,1,1,7,6,0,177,P27198.2,1.24E-124
gene_1035274|GeneMark.hmm|132_aa|-|2|397,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,2,0,0,132,Q8TJA9.2,2.31E-46
gene_1036236|GeneMark.hmm|393_aa|+|497|1678,0,0,1,1,2,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,393,Q55087.1,4.91E-180
gene_1036591|GeneMark.hmm|150_aa|+|7335|7787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,150,Q44554.3,1.86E-23
gene_103732|GeneMark.hmm|367_aa|-|2046|3149,0,1,0,1,0,0,1,0,2,1,0,0,0,1,1,0,1,2,1,0,0,1,1,2,3,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,3,0,0,0,2,3,2,0,367,Q8FYS6.1,1.41E-137
gene_1038236|GeneMark.hmm|1070_aa|-|1228|4440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070,P26969.1,3.75E-34
gene_1038236|GeneMark.hmm|1070_aa|-|1228|4440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070,P26969.1,0
gene_1039045|GeneMark.hmm|265_aa|-|36|833,0,9,3,4,6,0,5,3,2,4,0,4,0,2,4,3,2,6,7,5,3,1,3,4,9,6,2,0,4,0,6,5,7,1,3,3,7,3,2,2,5,1,6,2,5,10,7,2,265,Q52812.1,1.63E-105
gene_1039565|GeneMark.hmm|159_aa|-|1|477,1,2,1,7,1,1,3,2,1,1,3,1,0,1,1,3,3,2,1,2,1,1,1,1,0,2,2,1,2,2,1,7,5,2,2,1,2,2,4,1,3,3,1,2,2,1,2,2,159,Q92193.1,4.19E-113
gene_1040752|GeneMark.hmm|196_aa|-|56266|56856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,196,NA,NA
gene_1040900|GeneMark.hmm|68_aa|-|1|204,0,1,1,0,1,0,2,0,2,0,0,1,0,1,2,2,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,68,NA,NA
gene_104206|GeneMark.hmm|587_aa|-|185|1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,587,A1TYJ4.1,0
gene_1042944|GeneMark.hmm|399_aa|+|88|1287,3,1,2,1,1,0,1,1,2,3,1,2,2,2,2,1,0,2,2,2,1,2,3,3,3,4,1,1,2,0,2,2,2,0,2,1,2,3,1,1,2,1,1,2,2,2,3,2,399,Q4FLK5.1,0
gene_1043114|GeneMark.hmm|76_aa|-|967|1197,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,76,NA,NA
gene_1045161|GeneMark.hmm|394_aa|-|3299|4483,3,2,1,2,1,0,2,1,1,2,1,1,1,1,2,0,0,2,1,1,0,1,2,2,4,2,1,1,1,0,1,2,1,0,2,1,1,2,1,1,2,1,1,1,2,3,2,1,394,A5FIJ9.1,0
gene_1046766|GeneMark.hmm|228_aa|-|174|860,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,228,A5CX56.1,1.76E-114
gene_104838|GeneMark.hmm|215_aa|+|3|650,0,6,4,7,3,0,8,3,8,8,2,6,2,7,7,3,1,6,5,7,3,1,5,7,8,8,3,0,5,0,5,6,7,0,4,3,3,4,2,4,6,0,4,2,4,7,7,4,215,Q3J1R2.1,7.83E-23
gene_1057507|GeneMark.hmm|465_aa|-|317|1714,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,465,Q2S6P1.1,0
gene_1057690|GeneMark.hmm|419_aa|-|6790|8049,0,4,2,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,2,1,1,0,0,3,3,0,0,0,0,0,0,2,0,0,0,1,1,2,0,0,1,0,1,0,0,3,1,0,419,O06875.3,1.09E-126
gene_1059590|GeneMark.hmm|169_aa|+|1|510,0,0,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,169,Q6Z2T6.1,6.22E-69
gene_1060384|GeneMark.hmm|601_aa|-|1|1803,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,601,Q87WP4.1,0
gene_1060384|GeneMark.hmm|601_aa|-|1|1803,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,601,Q87WP4.1,1.27E-61
gene_1064953|GeneMark.hmm|105_aa|-|1062|1379,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,Q4FPA6.1,3.09E-62
gene_1065489|GeneMark.hmm|92_aa|+|936|1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,92,Q8A6P7.1,6.90E-39
gene_1065854|GeneMark.hmm|133_aa|-|3|401,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,Q25538.1,2.71E-18
gene_1065961|GeneMark.hmm|325_aa|+|3814|4791,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,325,Q315G1.1,4.70E-16
gene_1070265|GeneMark.hmm|846_aa|+|39506|42046,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,846,A5F9G0.1,1.29E-09
gene_1073006|GeneMark.hmm|302_aa|-|102|1010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,302,NA,NA
gene_1073007|GeneMark.hmm|420_aa|-|1037|2299,0,6,0,4,2,0,3,0,1,5,0,0,0,0,2,0,0,4,4,0,0,1,2,0,5,6,0,0,1,0,4,2,5,0,0,1,2,1,0,0,3,0,4,0,1,5,4,0,420,NA,NA
gene_1074428|GeneMark.hmm|74_aa|+|161|385,2,6,6,8,13,0,7,4,3,3,3,6,2,3,1,2,2,7,3,6,1,3,1,7,4,4,2,2,5,1,15,7,6,2,4,4,2,0,1,0,2,0,17,0,3,3,2,2,74,P46575.2,2.62E-46
gene_1079431|GeneMark.hmm|386_aa|-|1070|2230,0,1,0,0,0,0,0,1,3,1,3,5,2,1,3,2,2,1,0,2,2,0,3,3,1,1,2,0,1,0,1,0,1,0,3,1,0,2,1,1,1,0,0,2,4,1,0,2,386,A7U6E9.1,6.79E-126
gene_1079699|GeneMark.hmm|346_aa|+|2057|3097,0,1,0,4,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,346,Q52663.2,2.24E-156
gene_108764|GeneMark.hmm|116_aa|-|1|348,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,116,NA,NA
gene_108845|GeneMark.hmm|312_aa|-|12834|13772,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,2,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,312,NA,NA
gene_1090751|GeneMark.hmm|70_aa|+|625|837,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,2,0,1,0,0,1,0,0,70,NA,NA
gene_1091551|GeneMark.hmm|357_aa|-|298|1371,0,3,1,2,1,0,3,1,1,1,0,1,0,1,1,1,1,2,2,1,2,0,2,1,2,3,1,0,1,0,1,2,2,1,1,1,1,2,1,1,2,1,3,1,1,2,3,1,357,Q52812.1,6.41E-151
gene_1095055|GeneMark.hmm|90_aa|-|3|272,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,0,0,0,4,3,0,0,0,2,1,0,0,1,0,0,0,0,2,1,0,90,Q2YKR5.1,7.11E-26
gene_1096692|GeneMark.hmm|266_aa|-|2956|3756,0,3,0,1,1,0,2,0,1,1,1,0,0,4,2,0,1,2,0,2,1,0,2,1,3,3,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,1,2,3,1,266,P45168.1,9.01E-11
gene_1098031|GeneMark.hmm|122_aa|-|1|366,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,Q9Z3R5.2,4.49E-39
gene_1102606|GeneMark.hmm|503_aa|-|1797|3308,0,3,1,1,2,0,1,1,1,2,0,1,1,0,0,0,0,2,2,2,0,0,0,1,2,1,0,0,1,0,1,2,1,1,1,1,1,1,0,1,2,0,1,1,0,2,1,0,503,P13357.1,0
gene_1105089|GeneMark.hmm|415_aa|-|3343|4590,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,415,Q92KZ7.1,0
gene_1107610|GeneMark.hmm|76_aa|+|3|233,0,2,1,1,0,0,4,1,1,0,1,0,0,0,4,1,0,3,1,0,0,0,1,1,4,1,0,0,1,0,1,1,1,0,0,2,0,2,0,0,1,0,1,0,2,3,1,0,76,P0A355.1,5.40E-23
gene_1108524|GeneMark.hmm|246_aa|-|273|1013,0,7,2,6,5,3,5,5,7,3,3,4,6,4,4,4,1,7,1,5,2,6,4,9,7,1,4,0,5,5,6,8,9,3,3,4,4,2,0,2,7,0,6,4,9,10,3,4,246,P58195.1,2.35E-07
gene_1110397|GeneMark.hmm|467_aa|-|2926|4329,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,467,NA,NA
gene_1117818|GeneMark.hmm|63_aa|+|243|434,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,63,P72366.1,1.34E-16
gene_1118886|GeneMark.hmm|60_aa|-|821|1003,1,1,1,3,1,1,1,1,1,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,2,1,0,1,2,2,1,2,1,1,1,1,1,2,2,2,60,P15475.1,1.76E-23
gene_112214|GeneMark.hmm|144_aa|+|2|436,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,0,0,1,1,0,0,144,NA,NA
gene_1126590|GeneMark.hmm|183_aa|-|3161|3712,0,0,3,2,4,0,3,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,1,0,3,2,1,0,0,2,2,0,0,0,3,0,2,0,0,1,0,0,183,Q39709.1,8.92E-17
gene_1129023|GeneMark.hmm|79_aa|+|5|241,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79,NA,NA
gene_1132922|GeneMark.hmm|71_aa|-|8204|8419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,71,Q3K5S0.1,3.39E-40
